PWGTP,RAC1P,POWSP,HISP,SEX,CIT,WAOB,COW,SOCP
197,2,11,1,2,1,1,3,151150
23,6,6,1,2,4,4,1,151199
101,1,17,1,1,1,1,1,151121
106,1,13,1,2,4,4,1,151131
19,1,10,24,1,1,1,4,151150
117,1,45,1,1,3,7,1,151199
36,1,53,1,1,1,1,1,151142
79,1,47,1,2,1,1,1,151150
109,1,17,1,1,1,1,1,151199
106,1,26,1,1,1,1,1,151121
29,1,26,1,1,1,1,1,151150
76,1,6,1,1,1,1,5,151150
100,1,17,2,1,1,1,1,151199
199,1,2,1,1,1,1,6,15113X
56,1,4,1,1,1,1,6,151131
63,6,6,1,1,5,4,1,15113X
50,6,6,1,2,5,4,1,151141
124,1,48,1,1,1,1,2,151150
36,1,18,1,1,1,1,1,151131
31,1,1,1,2,1,1,5,15113X
52,1,6,1,2,5,5,1,151142
130,1,36,1,1,1,1,1,151121
58,1,53,1,1,1,1,1,151199
156,1,13,1,2,1,1,1,15113X
59,1,16,1,1,1,1,1,151150
64,1,6,2,2,1,1,1,151131
41,1,4,1,2,1,1,1,15113X
39,2,11,1,1,1,1,5,15113X
157,1,51,1,1,1,1,1,151150
24,1,36,1,1,1,1,6,151131
116,1,48,1,1,1,1,1,172070
74,1,6,2,1,1,1,1,151121
118,1,27,1,1,1,1,1,151134
41,1,42,1,1,5,5,1,151111
142,1,39,1,2,1,1,4,151131
150,1,53,1,1,1,1,2,151134
67,6,47,1,1,5,4,1,15113X
126,6,36,1,1,5,4,1,15113X
121,2,51,1,2,1,1,1,15113X
98,6,17,1,2,4,4,1,15113X
134,1,49,1,1,1,1,1,151143
95,1,37,1,2,1,1,1,151121
101,1,36,1,1,1,1,1,151150
103,1,13,1,1,1,1,1,172070
56,1,17,1,1,1,1,1,151199
279,6,42,1,1,4,4,3,151199
22,6,18,1,2,4,4,1,151199
32,6,21,1,1,4,4,1,15113X
49,2,37,1,2,1,1,3,151199
81,1,36,1,1,1,1,2,151121
235,1,12,1,1,1,1,1,151150
81,1,8,1,1,1,1,1,151150
65,1,42,1,2,1,1,1,151121
79,1,37,1,2,1,1,6,151131
185,1,29,1,1,1,1,1,15113X
106,1,53,1,1,1,1,1,151131
180,6,48,1,1,5,4,1,151131
174,1,16,2,2,4,3,1,151199
60,1,9,1,1,1,1,2,151121
3,1,18,1,1,1,1,1,151150
184,1,25,1,1,1,1,1,15113X
86,1,37,1,2,1,1,1,151143
95,1,12,1,2,1,1,1,151199
137,1,6,2,1,4,3,3,151199
79,2,51,1,1,1,1,1,151150
71,2,51,1,2,1,1,1,151121
85,1,36,1,1,1,1,1,151121
72,1,6,1,1,3,5,1,151131
56,1,24,1,1,1,1,1,151142
57,1,51,1,1,1,1,5,151199
47,1,8,1,2,1,1,6,15113X
78,6,37,1,1,5,4,1,15113X
72,6,25,1,1,4,4,1,15113X
111,1,39,1,1,1,1,4,15113X
73,2,25,1,1,1,1,1,172061
72,1,28,1,1,1,1,1,151199
125,2,5,1,1,1,1,1,151121
175,1,42,1,1,1,1,6,151134
63,6,36,1,2,4,4,1,151131
281,1,48,1,1,1,1,1,151121
181,1,54,1,1,1,1,1,172070
78,2,4,1,1,1,1,1,151142
97,6,51,1,1,4,4,1,151141
103,1,41,1,1,1,1,1,151150
59,1,42,1,2,1,1,1,151121
81,6,6,1,1,5,4,1,15113X
65,6,34,1,2,1,1,1,151142
130,1,6,1,1,1,1,1,15113X
20,1,38,1,2,1,1,1,151150
14,1,25,1,1,1,1,1,151131
112,1,37,1,2,1,1,1,151134
98,1,17,1,1,1,1,1,15113X
65,1,9,1,1,1,1,1,15113X
74,1,9,1,1,1,1,1,15113X
155,1,25,1,1,1,1,1,172070
183,2,13,1,1,1,1,1,151141
94,1,6,2,1,1,1,1,15113X
120,1,25,1,2,1,1,1,15113X
83,1,53,1,1,1,1,4,15113X
35,1,34,1,1,1,1,7,151131
64,1,48,1,1,1,1,1,151150
104,1,6,1,1,1,1,1,151143
101,1,4,1,2,1,1,3,151150
108,1,8,1,1,1,1,1,172070
61,6,6,1,1,1,1,4,151142
17,1,36,1,1,1,1,4,151150
13,1,51,1,1,1,1,1,151142
54,6,42,1,1,4,4,1,15113X
112,2,51,1,1,1,1,1,151150
117,9,6,1,1,5,4,1,151199
107,9,6,1,2,5,4,1,151121
161,6,6,1,1,4,4,1,151150
141,6,6,1,2,4,4,1,151121
61,1,6,2,1,1,1,1,151141
114,6,31,1,1,4,4,1,15113X
44,1,6,1,2,1,1,1,151143
46,1,6,1,2,1,1,1,151143
93,1,13,1,1,1,1,1,151131
127,1,51,1,1,1,1,1,151142
99,6,34,1,1,4,4,1,151131
95,1,12,1,2,1,1,3,151150
145,9,32,1,1,5,4,1,15113X
30,6,51,1,1,2,2,1,151143
26,1,39,1,2,1,1,4,151199
41,1,29,1,2,1,1,1,151134
78,1,6,1,2,1,1,6,151134
82,1,29,1,1,1,1,1,15113X
56,1,36,1,1,1,1,1,151131
92,1,42,1,1,4,4,1,15113X
85,1,39,1,1,1,1,1,151131
43,1,47,1,1,1,1,1,151150
50,1,53,1,2,1,1,1,151131
75,1,26,1,1,1,1,1,151142
80,1,36,1,2,1,1,3,151131
184,9,13,1,1,3,5,1,151150
66,1,37,1,1,1,1,1,15113X
83,1,37,1,1,1,1,1,151199
69,2,6,1,2,1,1,4,15113X
51,6,6,1,1,5,4,1,15113X
123,9,48,1,1,4,3,1,151131
326,1,39,1,1,1,1,1,151150
147,1,53,1,1,1,1,1,15113X
120,1,55,1,1,1,1,1,151142
81,8,6,2,1,1,1,1,15113X
16,1,34,1,2,1,1,1,151121
70,2,22,1,2,1,1,5,15113X
113,6,6,1,1,1,1,1,151142
122,1,6,1,2,1,1,2,151141
79,6,48,1,1,5,4,1,15113X
119,6,48,1,1,5,4,1,15113X
65,1,39,1,1,1,1,2,151199
